id,name,gift_type,section,category,description,value,goal,quota_options,status,sort_order
panos-prato,Kit de panos de prato,fixed,daily,Cozinha,"Para deixar nossa cozinha mais prática no dia a dia.",35,, ,available,10
descanso-panelas,Descanso de panelas,fixed,daily,Cozinha,"Para cuidar da mesa nos almoços em casa.",35,, ,available,20
colheres-pau,Kit de colheres de pau,fixed,daily,Cozinha,"Para os primeiros preparos na nossa cozinha.",40,, ,available,30
pegadores-cozinha,Kit de pegadores de cozinha,fixed,daily,Cozinha,"Para ajudar nos preparos e servir com carinho.",45,, ,available,40
organizador-gaveta,Organizador de gavetas,fixed,daily,Casa,"Para manter nosso novo lar mais arrumado.",45,, ,available,50
tabua-corte,Tábua de corte,fixed,daily,Cozinha,"Para os preparos do dia a dia na cozinha.",50,, ,available,60
potes-tempero,Porta-temperos,fixed,daily,Cozinha,"Para organizar os temperos da nossa casa.",60,, ,available,70
escorredor-louca,Escorredor de louça,fixed,daily,Cozinha,"Para facilitar nossa rotina depois das refeições.",65,, ,available,80
cesto-roupas,Cesto de roupas,fixed,daily,Lavanderia,"Para ajudar na organização da lavanderia.",65,, ,available,90
jogo-americano,Jogo americano,fixed,daily,Mesa,"Para montar uma mesa simples e bonita.",70,, ,available,100
lixeira-cozinha,Lixeira de cozinha,fixed,daily,Cozinha,"Para completar os itens essenciais da casa.",75,, ,available,110
kit-copos-simples,Kit de copos para o dia a dia,fixed,daily,Mesa,"Para receber visitas e compartilhar bons momentos.",80,, ,available,120
porta-mantimentos,Porta-mantimentos,fixed,daily,Cozinha,"Para deixar a despensa mais organizada.",85,, ,available,130
utensilios,Kit de utensílios de cozinha,fixed,daily,Cozinha,"Para ajudar nos primeiros preparos da nossa casa.",120,, ,available,140
potes,Conjunto de potes herméticos,fixed,daily,Cozinha,"Para manter nossa cozinha mais organizada.",150,, ,available,150
assadeiras,Kit de assadeiras antiaderentes,fixed,daily,Cozinha,"Para preparar receitas no nosso dia a dia.",150,, ,available,160
grill,Sanduicheira ou grill,fixed,daily,Cozinha,"Para nossos lanches rápidos.",180,, ,available,170
cafeteira,Cafeteira elétrica simples,fixed,daily,Cozinha,"Para deixar nossas manhãs mais especiais.",180,, ,available,180
chaleira,Chaleira elétrica,fixed,daily,Cozinha,"Para cafés, chás e momentos tranquilos.",180,, ,available,190
panela-arroz,Panela de arroz elétrica,fixed,daily,Cozinha,"Para facilitar nossa rotina na cozinha.",220,, ,available,200
liquidificador,Liquidificador,fixed,daily,Cozinha,"Para sucos, vitaminas e receitas do dia a dia.",250,, ,available,210
mixer,Mixer 3 em 1,fixed,daily,Cozinha,"Para deixar os preparos mais práticos.",250,, ,available,220
ferro,Ferro de passar roupa,fixed,daily,Lavanderia,"Para cuidar das nossas roupas.",250,, ,available,230
cama-casal,Jogo de cama casal,fixed,home,Quarto,"Para deixar nosso quarto mais completo.",280,, ,available,240
banho,Kit de banho completo,fixed,home,Banheiro,"Para começar a casa com mais conforto.",300,, ,available,250
air-fryer-compacta,Air Fryer compacta,fixed,home,Cozinha,"Para facilitar nossas refeições.",350,, ,available,260
aspirador,Aspirador de pó vertical,fixed,home,Limpeza,"Para ajudar na limpeza da casa nova.",350,, ,available,270
pressao-eletrica,Panela de pressão elétrica,fixed,home,Cozinha,"Para deixar nossa cozinha mais prática e segura.",400,, ,available,280
faqueiro,Faqueiro inox completo,fixed,home,Cozinha,"Para montar nossa mesa com carinho.",400,, ,available,290
jantar,Jogo de jantar,fixed,home,Cozinha,"Para receber pessoas queridas na nossa casa.",450,, ,available,300
panelas,Jogo de panelas antiaderente,fixed,home,Cozinha,"Para começarmos a cozinhar na nossa casa.",500,, ,available,310
forno,Forno elétrico,fixed,special,Cozinha,"Para preparar receitas especiais.",550,, ,available,320
cooktop,Cooktop a gás,fixed,special,Cozinha,"Para ajudar a montar nossa cozinha.",600,, ,available,330
air-fryer-oven,Air Fryer Oven,fixed,special,Cozinha,"Para deixar nossa rotina ainda mais prática.",700,, ,available,340
microondas,Micro-ondas,fixed,special,Eletrodoméstico,"Um item essencial para o nosso dia a dia.",750,, ,available,350
purificador,Purificador de água,fixed,special,Cozinha,"Para termos água filtrada sempre à mão.",800,, ,available,360
panelas-premium,Jogo de panelas premium,fixed,special,Cozinha,"Para completar nossa cozinha com qualidade.",900,, ,available,370
geladeira,Cota da geladeira,quota,quotas,"Cota da casa","Para nos ajudar em um dos principais itens da casa nova.",,5500,{150,250,500,1000},available,380
maquina-lavar,Cota da máquina de lavar,quota,quotas,"Cota da casa","Para facilitar nossa rotina com as roupas.",,2200,{150,250,500,1000},available,390
sofa,Cota do sofá,quota,quotas,"Cota da casa","Para montar nossa sala com conforto.",,2500,{150,250,500,1000},available,400
cama-colchao,Cota da cama e colchão,quota,quotas,"Cota da casa","Para montar nosso cantinho de descanso.",,2500,{150,250,500,1000},available,410
guarda-roupa,Cota do guarda-roupa,quota,quotas,"Cota da casa","Para ajudar na organização do nosso quarto.",,2000,{150,250,500},available,420
mesa-jantar,Cota da mesa de jantar,quota,quotas,"Cota da casa","Para criarmos momentos especiais à mesa.",,1500,{150,250,500},available,430
eletrodomesticos,Cota dos eletrodomésticos,quota,quotas,"Cota da casa","Para completar os itens essenciais da nossa casa.",,3000,{150,250,500,1000},available,440
moveis,Cota para móveis da casa,quota,quotas,"Cota da casa","Para nos ajudar a mobiliar nosso novo lar.",,3000,{150,250,500,1000},available,450
casa-nova,Cota da casa nova,quota,quotas,"Cota da casa","Para contribuir com esse novo começo.",,5000,{150,250,500,1000},available,460
